customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,60.44,2206.3,Yes
CUST00001,Female,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,51.4,20.21,No
CUST00002,Female,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,56.05,2364.95,Yes
CUST00003,Female,0,No,No,4,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,22.74,109.97,Yes
CUST00004,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.66,0.0,No
CUST00005,Male,0,Yes,Yes,2,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),48.2,104.28,Yes
CUST00006,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),47.4,88.97,No
CUST00007,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),47.53,47.42,No
CUST00008,Male,0,No,Yes,13,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),38.64,463.13,No
CUST00009,Male,0,Yes,No,41,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),34.29,1423.53,No
CUST00010,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,49.82,93.62,Yes
CUST00011,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.47,559.26,No
CUST00012,Female,0,No,Yes,19,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,35.42,685.21,Yes
CUST00013,Male,0,Yes,No,14,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,42.27,606.88,Yes
